128	192	256	320	384	448	512	576	640	704	768	832	896	960	1024	1088	1152	1216	1280	1344	1408	1472	1536	1600	1664	1728	1792	1856	1920	1984	2048	2112	2176	2240	2304	2368	2432	2496	2560	2624	2688	2752	2816	2880	2944	3008
10224.49	6574.20	4930.26	3997.29	3244.54	2752.33	2462.29	2155.19	1986.05	1826.44	1621.02	1552.45	1426.66	1310.12	1266.23	1182.79	1082.37	1031.41	974.71	942.51	889.94	852.84	842.89	797.34	807.99	823.24	838.28	842.73	804.59	809.95	833.95	838.48	799.00	796.28	812.41	817.97	839.93	792.77	800.95	804.90	837.76	819.14	815.96	808.58	784.88	794.60
10342.62	6650.98	5153.19	3922.26	3277.77	2720.65	2417.66	2197.15	1964.83	1840.34	1641.65	1537.16	1435.07	1329.54	1260.78	1195.72	1103.71	1023.34	983.31	944.71	888.62	895.15	859.29	808.06	796.88	805.94	797.23	815.01	819.29	827.51	847.95	843.20	801.24	818.60	827.63	825.50	833.26	799.69	812.43	811.66	834.80	835.10	837.52	809.17	808.47	813.53
10224.79	6731.70	5106.08	4026.62	3187.25	2736.98	2411.52	2197.08	2007.55	1834.76	1630.81	1562.37	1441.04	1289.01	1277.56	1269.29	1086.35	1027.99	968.26	925.18	883.38	892.89	865.23	803.81	801.92	810.38	800.05	806.81	825.97	848.84	825.55	847.67	817.84	821.82	813.89	808.26	809.41	806.81	811.15	817.91	838.26	827.50	836.22	795.69	803.78	798.82
10169.41	6661.93	5098.64	3994.35	3216.29	2722.11	2431.10	2180.44	1967.87	1832.96	1672.41	1528.45	1457.19	1322.84	1272.51	1186.15	1065.10	1025.45	980.33	939.09	886.51	901.40	862.95	810.88	804.06	827.03	805.15	808.95	818.57	822.45	818.64	840.45	824.51	818.83	818.67	814.91	820.87	816.17	810.00	818.95	832.61	836.49	820.44	816.27	814.19	800.34
10227.46	6495.59	5067.08	4032.57	3181.00	2785.30	2426.87	2160.17	1985.35	1834.16	1685.70	1547.40	1439.31	1336.69	1270.63	1187.47	1080.17	1029.64	988.10	938.27	894.82	903.38	868.08	801.98	801.08	812.77	806.44	803.23	800.61	811.33	811.71	841.61	810.58	824.60	814.59	822.76	808.03	812.13	805.94	821.96	831.74	831.64	817.11	807.70	808.52	807.69
10073.12	6610.98	5086.63	4065.05	3199.86	2755.88	2412.57	2143.26	2042.72	1846.02	1671.80	1553.36	1402.54	1305.80	1272.36	1157.68	1067.24	1012.17	999.16	938.53	889.66	898.78	849.31	795.13	809.98	825.42	805.35	803.78	823.82	825.29	823.56	828.07	817.27	811.34	821.00	835.22	789.43	803.79	806.37	822.81	833.04	814.04	830.02	796.28	811.26	796.87
9970.73	6573.65	5047.50	3970.44	3226.70	2757.50	2417.14	2167.38	2031.15	1833.96	1673.38	1561.89	1433.18	1305.25	1261.86	1166.32	1077.86	1034.29	979.66	936.79	891.66	885.63	865.93	812.22	833.92	814.71	807.76	807.86	811.43	814.37	834.26	806.30	820.44	816.24	829.27	814.95	806.72	819.18	825.48	827.84	837.28	821.03	843.08	812.16	807.39	803.83
10054.06	6576.46	5051.18	4020.63	3241.21	2765.83	2423.43	2143.19	2028.99	1823.77	1692.00	1547.07	1437.39	1355.20	1269.05	1194.35	1090.80	1030.19	976.04	935.61	889.17	883.97	853.15	808.93	838.37	827.42	807.68	821.85	814.86	791.86	844.35	830.62	807.32	827.76	821.01	821.97	788.12	810.43	795.76	838.53	833.84	816.12	843.11	804.65	816.87	801.90
10041.94	6626.79	5057.94	3979.59	3264.81	2767.55	2485.86	2143.32	1995.04	1829.93	1685.00	1559.92	1435.07	1304.13	1262.84	1159.49	1112.91	1028.06	989.93	940.92	890.86	909.18	861.33	800.14	843.99	800.19	818.32	814.18	816.60	832.09	829.52	840.10	822.43	808.42	818.06	823.63	807.14	811.79	812.67	833.63	835.11	819.20	845.12	810.34	804.86	821.50
